level1,level2,level3,word,kw_tag,pre_words,exclude_words
EF/车轮与轮胎,轮辋总体评价,轮辋颜色,"轮辋颜色,轮毂颜色,色轮辋,色轮毂",,,
EF/车轮与轮胎,轮辋总体评价,轮辋尺寸型号,"寸,R,大小",,"轮辋,轮毂,轮胎",
EF/车轮与轮胎,轮辋总体评价,轮辋材质,"铝,钢,铁,锻,轮毂材料,轮毂材质,轮辋材料,轮辋材质",,"轮辋,轮毂",
EF/车轮与轮胎,轮胎总体评价,防爆胎评价,"防爆胎,防爆轮胎",,,
EF/车轮与轮胎,轮胎总体评价,胎压监测,"胎压监测,PSB,WSB,胎压显示",,,
EF/车轮与轮胎,轮胎总体评价,轮胎耐久度,"耐久,磨损,耐磨,更换,寿命",,"轮胎,车胎",
EF/车轮与轮胎,轮胎总体评价,备胎/补胎液/维修套件,"备胎,补胎工具",,,
EF/车轮与轮胎,轮胎操控性,轮胎抓地力,抓地力,,,
EF/车轮与轮胎,轮胎操控性,轮胎操控性,"路感,性能,硬,软",,胎,
EF/车轮与轮胎,轮胎舒适性,轮胎舒适度,"舒服,舒适,颠簸",,胎,
EF/车轮与轮胎,轮胎舒适性,胎噪,胎噪,,,
EF/车轮与轮胎,车轮与轮胎故障,轮胎故障,"故障,坏了,失效,质量,不好用,破损,损坏,磨损,爆胎,变形,开裂,裂纹,报警",,"胎,轮辋,钢圈,轮毂,胎压,RDC","防爆胎,高质量"
EF/车轮与轮胎,车轮与轮胎故障,轮胎鼓包,"鼓包,凸起",,胎,
EF/车轮与轮胎,车轮与轮胎故障,轮胎开裂,"开裂,破裂",,胎,
EF/车轮与轮胎,车轮与轮胎故障,爆胎,漏气,,胎,
EF/车轮与轮胎,车轮与轮胎其他,车轮与轮胎其他,"轮胎,车胎,轮辋,钢圈,轮毂,RDC,抓地力",,,
EF/底盘悬架,悬架稳定性,悬架路感,"路感,反馈",,"底盘,悬挂,悬架",
EF/底盘悬架,悬架稳定性,过弯稳定性,"稳,飘,离心,晃动,倾斜,侧倾,舒适",,"过弯,弯道,转弯",
EF/底盘悬架,悬架稳定性,侧倾控制,"软,硬,舒服,舒适,晃,颠,稳,飘",,"底盘,悬挂,悬架,减速带,坑洼",
EF/底盘悬架,悬架配置,可调减振器,调节,,"底盘,悬挂,悬架",
EF/底盘悬架,悬架配置,弹簧/空气弹簧,"弹簧,空气",,"底盘,悬挂,悬架",
EF/底盘悬架,悬架配置,底盘护甲,"底盘护甲,底盘装甲",,,
EF/底盘悬架,悬架配置,麦弗逊悬挂,"麦弗逊,麦佛逊",,,
EF/底盘悬架,悬架配置,多连杆悬挂,多连杆,,悬架,
EF/底盘悬架,悬架故障,悬架异响,"噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,轰轰,隆隆,咕咕,震动,振动",,"底盘,悬挂,悬架,减速带,坑洼,烂路,不平整路面,井盖,颠簸路面,减震器,阻尼器,减震支柱,空气弹簧,避震,前部,摆臂,衬套,胶套,轮架,拉杆,控制臂,球头",
EF/底盘悬架,悬架故障,悬架抖动,"震动,振动,抖动,哆嗦,共振,共震",,"底盘,悬挂,悬架,减速带,坑洼,烂路,不平整路面,井盖,颠簸路面,减震器,阻尼器,减震支柱,空气弹簧,避震,前部,摆臂,衬套,胶套,轮架,拉杆,控制臂,球头",
EF/底盘悬架,悬架故障,悬架故障其他,"故障,坏了,失效,失灵,质量,破损,损坏,磨损,问题,漏气",,"悬架,底盘,悬挂,空气悬架,空气弹簧,减震器,车身高度,车身,减震支柱","高质量,车身大小"
EF/底盘悬架,悬架故障,悬架锈蚀,"锈,蚀",,"悬架,底盘,悬挂,减震器,阻尼器,减震支柱,空气弹簧,避震,摆臂,拉杆,控制臂,球头",
EF/底盘悬架,悬架故障,结构件开裂,"破裂,裂痕,开裂,断裂",,"悬架,底盘,悬挂,减震器,阻尼器,减震支柱,空气弹簧,避震,衬套,胶套,空气减震",
EF/底盘悬架,悬架故障,减震器漏油,"油,液,漏油,渗油,泄漏,泄露,密封,漏气",,"悬架,悬挂,弹簧,减震器,阻尼器,减震支柱,空气弹簧,避震",
EF/底盘悬架,悬架故障,空气悬架漏气,"漏气,下塌,下沉,塌陷,不一致,倾斜,变低",,"空气悬架,空气弹簧,减震器,减震支柱",
EF/底盘悬架,悬架舒适性,悬架滤震效果,感觉不到,,"底盘,悬挂,悬架,减速带,坑洼,减速带",
EF/底盘悬架,悬架舒适性,悬架紧凑感,"稳,飘,离心,晃动,倾斜,侧倾",,"底盘,悬挂,悬架,减速带,坑洼,减速带",
EF/底盘悬架,悬架舒适性,颠簸感觉,"减震,避震,滤震,颠簸",,"底盘,悬挂,悬架,减速带,坑洼,减速带",
EF/底盘悬架,悬架舒适性,悬架软硬程度,"感受,舒适",,"底盘,悬挂,悬架,减速带,坑洼,减速带",
EF/底盘悬架,底盘悬架其他,底盘悬架其他,"底盘,悬挂,悬架,减速带,坑洼,减速带,空气悬架,空气弹簧,空气悬架,空气弹簧,减震器,减震支柱,轮架,羊角,衬套,球头,摆臂,胶套,拉杆",,,参见指标互斥
EF/辅助驾驶系统,报警/警告,疲劳报警,"疲劳报警,疲劳预警,疲劳警告,疲劳提示,疲劳监测,疲劳驾驶报警,疲劳驾驶预警,疲劳驾驶警告,疲劳驾驶提示,疲劳驾驶监测",,,
EF/辅助驾驶系统,报警/警告,预碰撞报警,"碰撞报警,碰撞预警,碰撞警示,碰撞警告,碰撞预防,PCS",,,追尾碰撞预警
EF/辅助驾驶系统,报警/警告,路口提示,"路口提示,路口警示,路口提醒,路口预警",,,
EF/辅助驾驶系统,报警/警告,追尾碰撞报警,"追尾预警,追尾碰撞预警",,,
EF/辅助驾驶系统,辅助功能,停车辅助,"停车辅助,泊车辅助,自动泊车",,,
EF/辅助驾驶系统,辅助功能,倒车辅助,倒车辅助,,,倒车辅助记忆
EF/辅助驾驶系统,辅助功能,交通拥堵辅助,"拥堵辅助,堵车辅助",,,
EF/辅助驾驶系统,辅助功能,盲区监测,"盲区监测,盲点监测,BSD",,,
EF/辅助驾驶系统,辅助功能,原路倒车辅助,"倒车辅助记忆,原路倒车辅助,循迹倒车",,,
EF/辅助驾驶系统,辅助功能,夜视功能,夜视,,,
EF/辅助驾驶系统,辅助功能,遥控泊车,"遥控泊车,遥控停车,远程泊车,远程停车",,,
EF/辅助驾驶系统,辅助功能,倒车影像,倒车影像,,,
EF/辅助驾驶系统,辅助功能,盲区影像,盲区影像,,,
EF/辅助驾驶系统,辅助功能,360度影像,360度影像,,,
EF/辅助驾驶系统,控制系统,停车距离控制,"停车距离控制,倒车雷达,驻车雷达",,,
EF/辅助驾驶系统,其他辅助驾驶系统,车载摄像头,摄像头,,,"摄像头清洁,摄像头提醒"
EF/辅助驾驶系统,其他辅助驾驶系统,驾驶员辅助,"驾驶员辅助,驾驶辅助",,,
EF/自动驾驶,报警/警告,车道偏离警告,"车道偏离,车道保持辅助",,,
EF/自动驾驶,辅助功能,变道辅助,"变道辅助,并线辅助",,,
EF/自动驾驶,辅助功能,转向和车道导向辅助系统,"转向辅助,辅助转向,车道导向辅助",,,
EF/自动驾驶,控制系统,自适应巡航控制系统,"自适应巡航,ACC,主动巡航",,,
EF/自动驾驶,其他,常规自动驾驶,自动驾驶,,,
EP_I/座舱,座椅,座椅舒适性,"舒适,支撑,包裹,软硬度,角度,宽大",,"座椅,坐垫,坐姿",
EP_I/座舱,座椅,座椅气味,味,,座椅,
EP_I/座舱,座椅,座椅材质,"真皮,织物,面料,材料,材质,缝线,环保,回收,合成皮,仿皮",,座椅,
EP_I/座舱,座椅,座椅加热,座椅加热,,,
EP_I/座舱,座椅,座椅故障码,故障码,,座椅,
EP_I/座舱,座椅,座椅异响,"噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,轰轰,隆隆,咕咕,震动,振动",,座椅,
EP_I/座舱,座椅,座椅通风,座椅通风,,,
EP_I/座舱,座椅,运动座椅,运动座椅,,,
EP_I/座舱,座椅,前排中央扶手,"中央扶手,扶手箱",,,"后排,后座"
EP_I/座舱,座椅,后排中央扶手,"后排,后座",,"中央扶手,扶手箱",
EP_I/座舱,座椅,安全带,安全带,,,
EP_I/座舱,座椅,座椅其他,"座椅,坐垫,坐姿",,,
EP_I/座舱,中央功能区,点烟器,点烟器,,,
EP_I/座舱,中央功能区,手套箱,手套箱,,,
EP_I/座舱,中央功能区,杯架,杯架,,,
EP_I/座舱,中央功能区,太阳镜盒,"太阳镜盒,眼镜盒,墨镜盒",,,
EP_I/座舱,中央功能区,仪表盘质量,"起泡,老化,清晰,模糊,坏了",,仪表,
EP_I/座舱,中央功能区,中控显示屏,"寸,大小,悬浮,贯通,贯穿,旋转,升降",,"中控屏,显示屏,触控屏,液晶屏,屏幕","仪表显示屏,仪表屏幕"
EP_I/座舱,中央功能区,内后视镜,"内后视镜,内部后视镜",,,
EP_I/座舱,中央功能区,启停按钮,"启停按钮,点火开关",,,
EP_I/座舱,中央功能区,换挡手柄,"水晶,鸡腿,悬浮",,"档把,挡把,档杆,挡杆,换挡拨杆",
EP_I/座舱,空调,空调舒适性,"舒适,舒服,不适",,空调,
EP_I/座舱,空调,空调加热/冷却性能,"加热,制冷",,空调,
EP_I/座舱,空调,空调噪音,"噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,轰轰,隆隆,咕咕,震动,振动,静",,空调,
EP_I/座舱,空调,空调材质,"材料,材质,装饰,镀铬,木,金属,水转印,钢琴漆,碳纤维,开裂,松动",,"空调,出风口,叶片,",
EP_I/座舱,空调,空调出风口水汽,"水气,水汽,水珠",,"空调,出风口,车内",
EP_I/座舱,空调,车内玻璃起雾,雾,,"玻璃,侧窗,风窗,风挡,后窗",
EP_I/座舱,空调,空调其他,"空调,出风口",,,"中央空调,售后,维修,保养,保修,电话,包修"
EP_I/座舱,方向盘,驾驶位安全气囊,安全气囊,,,"头部,腿部,侧,气帘"
EP_I/座舱,方向盘,方向盘手感,"手感,触感,握感,粗,细,真皮,木,塑料",,方向盘,细微
EP_I/座舱,方向盘,方向盘类型,"运动方向盘,多功能方向盘,多幅方向盘,四幅方向盘,三幅方向盘,4幅方向盘,3幅方向盘",,,
EP_I/座舱,方向盘,方向盘其他,方向盘,,,
EP_I/座舱,车门内饰板,车门内部装饰,"内 装饰,内 内饰,内 材料,内 材质,内 装饰,内 镀铬,内 木,内 金属,内 水转印,内 钢琴漆,内 真皮,内 织物,内 碳纤维,内 缝线",,车门,
EP_I/座舱,车门内饰板,车门内储物,储物,,车门,
EP_I/座舱,车门内饰板,车门内把手,"内 把手,内 扶手",,车门,
EP_I/座舱,顶棚,顶棚噪音,"噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,轰轰,隆隆,咕咕,震动,振动",,"顶棚,车顶",
EP_I/座舱,顶棚,顶棚漏水,"漏水,漏雨",,"顶棚,车顶",
EP_I/座舱,顶棚,遮阳帘,遮阳帘,,,
EP_I/座舱,顶棚,遮阳板,遮阳板,,,
EP_I/座舱,顶棚,化妆镜,化妆镜,,,
EP_I/座舱,顶棚,顶棚其他,"顶棚,车顶",,,
EP_I/座舱,地毯,地毯,"地毯,地垫,地板垫,脚垫",,,地毯灯
EP_I/常规内饰,空间,车内前排空间,空间,,"前排,第一排","后排,第三排,储物空间,后备箱空间,第二排"
EP_I/常规内饰,空间,车内后排空间,空间,,"后排,第二排","储物空间,后备箱空间"
EP_I/常规内饰,空间,后备箱空间,空间,,后备箱,
EP_I/常规内饰,空间,车内储物空间,"储物,手套箱,放手机",,,"后备箱,播放手机"
EP_I/常规内饰,空间,空间其他,空间,,,
EP_I/常规内饰,工艺,内饰装配,"平整,不平,缝隙",,内饰,
EP_I/常规内饰,工艺,内饰工艺,"工艺,品质,故障,坏了,失效,失灵,质量,不好用,破损,损坏,磨损,破裂,裂痕,问题,皮实,耐用,结实,可靠,耐磨,耐脏,噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,沙沙,轰轰,隆隆,咕咕,震动,振动",,内饰,
EP_I/常规内饰,总体印象,内饰装饰条材质,"材料,材质,装饰,镀铬,木,金属,水转印,钢琴漆,真皮,织物,碳纤维",,"装饰,内饰条",
EP_I/常规内饰,总体印象,内饰材质,"材料,材质,装饰,镀铬,木,金属,水转印,钢琴漆,真皮,织物,碳纤维,缝线",,内饰,内饰条
EP_I/常规内饰,总体印象,内饰其他,内饰,,,
EP_I/灯光照明,阅读灯,阅读灯,阅读灯,,,
EP_I/灯光照明,化妆镜灯 (遮阳板),化妆镜灯 (遮阳板),"灯,照明",,"化妆,遮阳板",
EP_I/灯光照明,氛围灯,氛围灯,氛围灯,,,
EP_I/灯光照明,手套箱照明,手套箱照明,"灯,照明",,手套箱,
EP_K/常规外饰,工艺,外饰喷漆,漆,,,"钢琴漆,内,4S,补漆,免费"
EP_K/常规外饰,工艺,外饰装配,"缝隙,接缝,平整",,,"内,底板,底板,气缸,漆黑"
EP_K/常规外饰,工艺,外饰工艺,"工艺,品质,故障,坏了,失效,失灵,质量,不好用,破损,损坏,磨损,破裂,裂痕,问题,噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,沙沙,轰轰,隆隆,咕咕,震动,振动",,"装饰,外饰条","内,出风口,仪表台,缝线,座椅,木,装饰包,礼,券"
EP_K/常规外饰,工艺,车身外装饰条,"装饰,外饰条",,,"内,出风口,仪表台,缝线,座椅,木,装饰包,礼,券,工艺,品质,故障,坏了,失效,失灵,质量,不好用,破损,损坏,磨损,破裂,裂痕,问题,噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,沙沙,轰轰,隆隆,咕咕,震动,振动"
EP_K/常规外饰,工艺,外饰其他,"装饰,外饰,车漆",,,
EP_K/车身外观,车门,车门抖动,"震动,振动,抖动",,车门,
EP_K/车身外观,车门,车门噪音,"噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,沙沙,轰轰,隆隆,咕咕,震动,振动",,车门,
EP_K/车身外观,车门,车门开启关闭困难,"紧,费力,沉重,厚重,轻松,方便",,"开门,关门,车门",紧急
EP_K/车身外观,车门,车门锁,"位置,隐藏",,车锁,"锁孔,锁眼"
EP_K/车身外观,车门,车门限位器/开角,"角度,开角",,"车门,前门,后门,限位器",
EP_K/车身外观,车门,车门外把手,把手,,门,内
EP_K/车身外观,车门,车门踏板,踏板,,"迎宾,车门","油门踏板,刹车踏板,制动踏板,离合踏板,离合器踏板"
EP_K/车身外观,车门,油箱盖门,"油箱盖,加油口,注油口",,,
EP_K/车身外观,车门,尾门,"尾门,后备箱盖,尾箱们",,,
EP_K/车身外观,车门,前引擎盖,"引擎盖,机舱盖,发动机盖",,,
EP_K/车身外观,车门,车门其他,车门,,,
EP_K/车身外观,天窗,天窗卡顿,"卡死,卡住,不动,卡顿",,天窗,哈曼卡顿
EP_K/车身外观,天窗,天窗异响,"噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,沙沙,轰轰,隆隆,咕咕,震动,振动",,天窗,
EP_K/车身外观,天窗,天窗其他,天窗,,,
EP_K/车身外观,尺寸,轴距,轴距,,,
EP_K/车身外观,尺寸,长/宽/高,"车身尺寸,车身大小,车辆大小,车长,车身长,车宽,车身宽,车高,车身高",,,"车高德,车长得,车长途,车长时间,销量,耗,车长期,车高级,价,系数,车长安,车高速,车高音"
EP_K/车身外观,其他,A/B/C柱噪音,"噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,沙沙,轰轰,隆隆,咕咕,震动,振动",,"A柱,B柱,C柱,A/B/C柱",
EP_K/车身外观,其他,天线,"天线,鲨鱼鳍",,,WIFI
EP_K/车身外观,其他,摄像头,"位置,凸起,前置,后置,数量",,摄像头,
EP_K/车窗,雨刷器/清洗器,雨刷器/清洗器噪音,"噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,沙沙,轰轰,隆隆,咕咕,震动,振动",,"雨刷,雨刮,玻璃清洗器",
EP_K/车窗,雨刷器/清洗器,雨刷器/清洗器卡顿,"卡死,卡住,不动,卡顿",,"雨刷,雨刮,玻璃清洗器",哈曼卡顿
EP_K/车窗,雨刷器/清洗器,雨刷器/清洗器清洁难度,"干净,不净,水迹,水痕",,"雨刷,雨刮,玻璃清洗器",
EP_K/车窗,雨刷器/清洗器,雨刷器/清洗器其他,"雨刷,雨刮,玻璃清洗器",,,
EP_K/车窗,挡风玻璃,风窗加热,"风窗加热,风挡加热,玻璃加热,风窗除雾,风挡除雾,玻璃除雾",,,
EP_K/车窗,挡风玻璃,前挡风玻璃,"风窗,风挡",,,"后,加热,除雾,遮风挡雨,冷热风挡"
EP_K/车窗,车窗质量,玻璃升降器故障,"升降 故障,升降 坏了,升降 失效,升降 失灵,升降 质量,升降 不好用,升降 破损,升降 损坏,升降 磨损,升降 破裂,升降 裂痕,升降 问题,升降 异响,升降 咯噔,升降 滋滋,升降 吱吱,升降 嗡嗡,升降 呜呜,升降 呼呼,升降 噪音,升降 声音,升降 卡死,升降 卡住,升降 不动,升降 卡顿",,"窗,玻璃","玻璃水,高质量,质量好"
EP_K/车窗,车窗质量,车窗开裂,"开裂,裂纹,破裂",,"窗,玻璃","玻璃水,化妆镜玻璃"
EP_K/车窗,玻璃质量,玻璃质量,"故障,坏了,失效,失灵,质量,不好用,破损,损坏,磨损,破裂,裂痕,问题,破裂,噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,沙沙,轰轰,隆隆,咕咕,震动,振动",,玻璃,玻璃水
EP_K/外后视镜,外后视镜,外后视镜设计,"设计,功能,折叠,电动,材质,材料,碳纤维,大小,特色,科技,创新,熏黑,自动",,外后视镜,"内后视镜,内部后视镜"
EP_K/外后视镜,外后视镜,外后视镜视野,"视野,盲区,面积",,外后视镜,"内后视镜,内部后视镜"
EP_K/外后视镜,外后视镜,外后视镜加热,"加热,除雾",,外后视镜,"内后视镜,内部后视镜"
EP_K/外后视镜,外后视镜,外后视镜其他,外后视镜,,,
EP_K/车灯,大灯,大灯起雾,"雾化,起雾,雾气",,"大灯,前照灯,车灯","行车灯,门,尾"
EP_K/车灯,大灯,大灯照明强度,"照明,亮,暗,清楚,不清",,"大灯,前照灯,车灯","行车灯,门,尾"
EP_K/车灯,大灯,大灯清洗,清洗,,"大灯,前照灯,车灯","行车灯,门,尾"
EP_K/车灯,大灯,大灯设计,"设计,造型,形状,漂亮,犀利,鹰眼,霸气,科技,运动,动感,稳重,高级,吸引,引人,亮点,普通,难看,天使眼,勺子,施华洛世奇,高度调节",,"大灯,前照灯,车灯","行车灯,门,尾"
EP_K/车灯,大灯,大灯其他,"大灯,前照灯,车灯",,,
EP_K/车灯,前部灯光,激光大灯,激光大灯,,,
EP_K/车灯,前部灯光,LED大灯,LED大灯,,,
EP_K/车灯,前部灯光,远光灯,远光灯,,,远光灯辅助
EP_K/车灯,前部灯光,远光灯辅助,远光灯辅助,,,
EP_K/车灯,前部灯光,近光灯,近光灯,,,
EP_K/车灯,前部灯光,雾灯,雾灯,,,后
EP_K/车灯,前部灯光,日间行车灯,"日间行车灯,日行灯",,,
EP_K/车灯,常规灯光,灯光发黄,"发黄,泛黄,氧化,老化,变黄",,灯,
EP_K/车灯,其他车灯,牌照架灯,牌照架灯,,,
EP_K/车灯,其他车灯,转向信号灯,"转向灯,转向信号灯",,,"拨,操纵杆,打转向灯"
EP_K/车灯,其他车灯,迎宾灯,迎宾灯,,,
EE/数字服务,数字服务,Apple CarPlay,CarPlay,,,
EE/数字服务,数字服务,用户帐户,"账户,个人信息,用户信息",,"车载,车机,车内",
EE/数字服务,数字服务,数字钥匙,"数字钥匙,智能钥匙,Digital Key",,,
EE/数字服务,数字服务,用户App指引,指引,,"用户APP,车主APP,手机APP,用户应用,车主应用,手机应用,My BMW,My MINI",
EE/数字服务,数字服务,紧急救援呼叫,"紧急救援,救援呼叫,紧急呼叫,紧急呼救,SOS",,,
EE/数字服务,数字服务,电子用户手册,"电子用户手册,电子手册,电子说明书",,,
EE/软件,网联信息娱乐,语音控制,"语音控制,声控,Caring Car",,,
EE/软件,网联信息娱乐,车机系统用户界面,界面,,,导航
EE/软件,网联信息娱乐,车机系统应用商店,应用商店,,,
EE/软件,网联信息娱乐,中央控制单元,"中央控制单元,中央电器控制单元",,,
EE/软件,网联信息娱乐,车内摄像头,"车内摄像头,车内监控摄像头,驾驶员监控摄像头,后排监控摄像头,",,,
EE/软件,网联信息娱乐,地图更新,"更新,升级,最新,版本,旧",,地图,
EE/软件,网联信息娱乐,菜单索引,菜单,,,
EE/软件,网联信息娱乐,收音机,"收音机,电台",,,
EE/软件,网联信息娱乐,后排娱乐系统,"娱乐,屏幕",,"后排,第二排,后座",
EE/软件,网联信息娱乐,屏幕镜像,"屏幕镜像,手机镜像,手机映射",,,
EE/软件,网联信息娱乐,语音输入/语音识别,"输入,识别",,语音,
EE/软件,网联信息娱乐,面部识别,"面部识别,人脸识别",,,
EE/软件,网联信息娱乐,网络通信服务,"网络服务,中国移动,中国联通,中国电信",,,诈骗
EE/软件,网联信息娱乐,交通摄像头信息,"交通摄像头,交通道路摄像头,交通监控摄像头,违章摄像头,测速摄像头,违章抓拍,电子探头,电子眼,电子狗",,,
EE/软件,网联信息娱乐,信息娱乐系统其他,"信息娱乐系统,车机,WinCE,QNX,Linux,Android,安卓,华为OS,鸿蒙OS,HarmonyOS,阿里OS,AliOS",,,手机
EE/软件,功能,中控显示屏黑屏,"黑屏,花屏,死机",,,"仪表板,仪表台"
EE/软件,功能,中控显示屏其他,"中控屏,显示屏,触控屏,液晶屏,屏幕",,,"仪表显示屏,仪表屏幕,寸,大小,悬浮,贯通,贯穿,旋转,升降"
EE/软件,功能,时间显示,"时间显示,显示时间,日期显示,显示日期",,,
EE/软件,功能,行车记录仪,记录仪,,,
EE/软件,功能,驾驶员识别,识别,,"驾驶员,指纹,人脸,面部,钥匙",
EE/软件,功能,座舱体验模式,模式,,"座舱,车内,环境,体验","驾驶,悬架,悬挂"
EE/软件,功能,车库门遥控开关,"门 遥控,开关 遥控",,车库,
EE/软件,功能,手势控制,"控制,识别",,手势,
EE/软件,功能,抬头显示HUD,"抬头显示,平视显示,HUD",,,
EE/软件,功能,导航,导航,,,
EE/软件,功能,实时路况信息RTTI,实时,,路况信息,
EE/软件,功能,远程软件升级RSU/OTA,"远程升级,远程系统升级,远程软件升级,远程固件升级,云端升级,远程更新,远程系统更新,远程软件更新,远程固件更新,云端更新,RSU,OTA",,,TOYOTA
EE/软件,功能,智能辅助功能IPA,"语音助手,语音助理,智能助手,智能助理,IPA",,,"iPad,IPAD"
EE/软件,功能,智能辅助功能语音唤醒,"语音,词,助手,助理",,唤醒,"激情,灵感,狂野,天性"
EE/软件,功能,WiFi,"Wifi,无线热点",,,
EE/软件,功能,蓝牙,蓝牙,,,
EE/软件,功能,无线充电,无线充电,,,"电池,充电桩"
EE/软件,功能,电视功能,电视,,"车,副驾,后排,系统",
EE/软件,功能,电子设备自动关闭,自动关闭,,,
EE/软件,移动互联,车机App,"应用,QQ音乐,喜马拉雅,精灵,西瓜视频,咪咕,蜻蜓,爱奇艺,车载微信,酷狗",,"车载,车机,车内",导航
EE/软件,移动互联,最后一英里导航,"最后一英里导航,最后一公里导航",,,
EE/软件,移动互联,用户App,"用户APP,车主APP,手机APP,用户应用,车主应用,手机应用,My BMW,My MINI,My Audi app,Mercedes me,Tesla app,LynkCo app,WEY道,蔚来APP,NIO App",,,指引
EE/软件,移动互联,充电App,充电APP,,,
EE/软件,远程服务,远程3D视图,远程3D,,,
EE/软件,远程服务,远程发动机启动,"启动,点火,热车,打开空调",,远程,
EE/软件,远程服务,内部防盗记录仪,"车内摄像头,车内监控摄像头,驾驶员监控摄像头,后排监控摄像头",,远程,
EE/软件,远程服务,远程服务其他,远程服务,,,
EE/硬件,功能,音响系统,"扬声器,音响,喇叭,英国之宝,Meridian,B&O,丹麦,Burmester,柏林之声,Naim,FM AcoustiCS,HarmanKardon,哈曼,Dynaudio,丹拿,Bowers&Wilkins,宝华韦健,Mark Levinson,马克莱文森,BOSE",,,"按喇叭,车辆喇叭,车喇叭,喇叭声,喇叭音"
EE/硬件,功能,CD机,"音乐,歌,碟,音质",,CD,
EE/硬件,功能,USB,"USB,TYPE-C",,,
EE/硬件,功能,AUX,AUX,,,
